2023-09-29 00:43:53,640 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Configure stats pid to 8463
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/SDL2_group2/sdl2-hackathon/wandb/settings
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cot_synth_train.py', 'program_abspath': '/home/ubuntu/SDL2_group2/sdl2-hackathon/cot_synth_train.py', 'program': '/home/ubuntu/SDL2_group2/sdl2-hackathon/cot_synth_train.py'}
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:_log_setup():528] Logging user logs to /home/ubuntu/SDL2_group2/sdl2-hackathon/wandb/run-20230929_004353-srbp7jt1/logs/debug.log
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:_log_setup():529] Logging internal logs to /home/ubuntu/SDL2_group2/sdl2-hackathon/wandb/run-20230929_004353-srbp7jt1/logs/debug-internal.log
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:init():568] calling init triggers
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0003, 'batch size': 64, 'weight decay': 0.001, 'beta 1': 0.9, 'training itr': 2000000}
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:init():618] starting backend
2023-09-29 00:43:53,641 INFO    MainThread:8463 [wandb_init.py:init():622] setting up manager
2023-09-29 00:43:53,642 INFO    MainThread:8463 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-29 00:43:53,643 INFO    MainThread:8463 [wandb_init.py:init():628] backend started and connected
2023-09-29 00:43:53,644 INFO    MainThread:8463 [wandb_init.py:init():720] updated telemetry
2023-09-29 00:43:53,648 INFO    MainThread:8463 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-09-29 00:43:54,076 INFO    MainThread:8463 [wandb_run.py:_on_init():2220] communicating current version
2023-09-29 00:43:54,193 INFO    MainThread:8463 [wandb_run.py:_on_init():2229] got version response 
2023-09-29 00:43:54,193 INFO    MainThread:8463 [wandb_init.py:init():804] starting run threads in backend
2023-09-29 00:43:54,235 INFO    MainThread:8463 [wandb_run.py:_console_start():2199] atexit reg
2023-09-29 00:43:54,235 INFO    MainThread:8463 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-29 00:43:54,235 INFO    MainThread:8463 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-29 00:43:54,236 INFO    MainThread:8463 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-29 00:43:54,236 INFO    MainThread:8463 [wandb_init.py:init():845] run started, returning control to user process
